"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\navigation.svg", "XML", 0, -41, 0, 0, 0, 0, -1, -1, -43
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\picker_checked.svg", "XML", 0, -43, 0, 0, 0, 0, 0, -1, -44
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\region_add.svg", "XML", 0, -95, 0, 0, 0, 0, 0, -1, -96
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\region_remove.svg", "XML", 0, -102, 0, 0, 0, 0, 0, -1, -103
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\terrain3d.svg", "XML", 0, -153, 0, 0, 0, 0, 0, -1, -154
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\texture_paint.svg", "XML", 0, -151, 0, 0, 0, 0, 0, -1, -152
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\texture_spray.svg", "XML", 0, -165, 0, 0, 0, 0, 0, -1, -166
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\icons\wetness.svg", "XML", 0, -37, 0, 0, 0, 0, -1, -4, -42
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\plugin.cfg", "Properties", 0, 0, 0, -6, 0, 0, 0, -2, -8
"c:\Users\Lenovo\Local Game Development\saving-and-loading\icon.svg", "XML", 0, -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Lenovo\Local Game Development\saving-and-loading\out\linecount.json", "JSON", 0, 0, -16865, 0, 0, 0, 0, 0, -16865
"Total", "-", 86, -2395, -16865, -12, -30, -58323, 48, -581, -78072
