"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Shader\ShaderLayerCompositor.cs", "C#", 15, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\GameplayUi.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 13, 39
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\LoadGameContainer.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\UiInventory.cs", "C#", 80, 0, 0, 0, 0, 0, 3, 36, 119
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\UiInventoryElement.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 20, 54
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\UiManager.cs", "C#", 78, 0, 0, 0, 0, 0, 3, 28, 109
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\UiSaveLoad.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 34, 101
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\UI\UiSaveSelector.cs", "C#", 48, 0, 0, 0, 0, 0, 7, 25, 80
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Utility\FPSCounter.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 10, 21
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\open-world-database\OWDB.svg", "XML", 0, 139, 0, 0, 0, 0, 1, 2, 142
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\open-world-database\OWDBPosition.svg", "XML", 0, 234, 0, 0, 0, 0, 1, 2, 237
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\open-world-database\OWDBSync.svg", "XML", 0, 137, 0, 0, 0, 0, 1, 2, 140
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\open-world-database\plugin.cfg", "Properties", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\README.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 23, 53
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\bin\libterrain.web.debug.wasm32.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 29886, 0, 310, 30196
"c:\Users\Lenovo\Local Game Development\saving-and-loading\addons\terrain_3d\bin\libterrain.web.release.wasm32.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 28437, 0, 221, 28658
